province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,winner_party,winner_votes,election_type,polling_station_id,total_party_votes_at_station,winner_share,rank,runner_up_party,runner_up_votes,runner_up_share,margin_votes,margin_share
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,1,constituency,402.0,316.0,400.0,316.0,295.0,7.0,14.0,84.0,335,335,295,40,ไทรวมพลัง,195,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|1,335,0.582089552238806,1.0,กล้าธรรม,57,0.1701492537313433,138,0.4119402985074627
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,11,constituency,324.0,274.0,320.0,274.0,257.0,9.0,8.0,46.0,257,257,257,0,ไทรวมพลัง,148,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|11,257,0.5758754863813229,1.0,กล้าธรรม,50,0.19455252918287938,98,0.38132295719844356
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,2,constituency,635.0,472.0,620.0,472.0,453.0,9.0,12.0,148.0,453,453,453,0,ไทรวมพลัง,253,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|2,453,0.5584988962472406,1.0,กล้าธรรม,118,0.26048565121412803,135,0.29801324503311255
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,3,constituency,548.0,443.0,540.0,443.0,401.0,26.0,16.0,97.0,401,401,401,0,ไทรวมพลัง,233,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|3,401,0.5810473815461347,1.0,กล้าธรรม,84,0.20947630922693267,149,0.371571072319202
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,4,constituency,657.0,512.0,640.0,512.0,477.0,14.0,21.0,128.0,469,469,477,-8,ไทรวมพลัง,251,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|4,469,0.535181236673774,1.0,กล้าธรรม,117,0.24946695095948826,134,0.2857142857142858
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,5,constituency,590.0,482.0,580.0,482.0,438.0,18.0,26.0,78.0,438,438,438,0,กล้าธรรม,210,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|5,438,0.4794520547945205,1.0,ไทรวมพลัง,115,0.2625570776255708,95,0.21689497716894973
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,6,constituency,766.0,54.0,760.0,594.0,560.0,16.0,18.0,166.0,560,560,560,0,ไทรวมพลัง,262,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|6,560,0.46785714285714286,1.0,กล้าธรรม,202,0.3607142857142857,60,0.10714285714285715
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,7,constituency,399.0,287.0,380.0,287.0,250.0,14.0,23.0,93.0,248,248,250,-2,กล้าธรรม,86,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|7,248,0.3467741935483871,1.0,ไทรวมพลัง,55,0.2217741935483871,31,0.12500000000000003
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,8,constituency,554.0,465.0,540.0,465.0,444.0,11.0,10.0,75.0,444,444,444,0,ไทรวมพลัง,237,constituency,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|8,444,0.5337837837837838,1.0,กล้าธรรม,143,0.32207207207207206,94,0.21171171171171171
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,1,constituency,267.0,198.0,260.0,198.0,188.0,3.0,7.0,62.0,188,188,188,0,กล้าธรรม,79,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|1,188,0.42021276595744683,1.0,ไทรวมพลัง,64,0.3404255319148936,15,0.07978723404255322
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,2,constituency,370.0,293.0,360.0,293.0,252.0,15.0,26.0,67.0,252,252,252,0,กล้าธรรม,105,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|2,252,0.4166666666666667,1.0,ไทรวมพลัง,83,0.32936507936507936,22,0.08730158730158732
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,3,constituency,632.0,404.0,620.0,404.0,368.0,17.0,19.0,216.0,368,368,368,0,ไทรวมพลัง,122,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|3,368,0.33152173913043476,1.0,กล้าธรรม,92,0.25,30,0.08152173913043476
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,4,constituency,472.0,281.0,440.0,281.0,274.0,2.0,5.0,159.0,274,274,274,0,กล้าธรรม,103,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|4,274,0.3759124087591241,1.0,ไทรวมพลัง,73,0.2664233576642336,30,0.10948905109489049
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,5,constituency,754.0,443.0,740.0,443.0,416.0,20.0,7.0,297.0,416,416,416,0,กล้าธรรม,182,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|5,416,0.4375,1.0,ประชาชน,71,0.17067307692307693,111,0.2668269230769231
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,6,constituency,477.0,266.0,440.0,266.0,246.0,10.0,10.0,174.0,246,246,246,0,ไทรวมพลัง,108,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|6,245,0.44081632653061226,1.0,กล้าธรรม,78,0.3183673469387755,30,0.12244897959183676
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,7,constituency,460.0,319.0,460.0,319.0,291.0,12.0,16.0,141.0,291,291,291,0,ไทรวมพลัง,112,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|7,291,0.3848797250859107,1.0,กล้าธรรม,99,0.3402061855670103,13,0.04467353951890035
