province,constituency,amphoe,tambon,constituency_winner,const_votes,party_list_winner,party_list_votes,same_winner
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทรวมพลัง,1749,ไทรวมพลัง,337,True
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,กล้าธรรม,766,เพื่อไทย,294,False
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ไทรวมพลัง,2452,ไทรวมพลัง,662,True
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,กล้าธรรม,927,ไทรวมพลัง,233,False
อุบลราชธานี,2,ตำบลเขื่องใน,เขตเทศบาล และนอกเขต,กล้าธรรม,217,เพื่อไทย,99,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,กล้าธรรม,784,กล้าธรรม,305,True
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,ไทรวมพลัง,627,ไทรวมพลัง,270,True
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,กล้าธรรม,980,กล้าธรรม,211,True
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,กล้าธรรม,1529,กล้าธรรม,144,True
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,ไทรวมพลัง,1132,ไทรวมพลัง,453,True
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,ไทรวมพลัง,1335,พลังไทยรักชาติ,406,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,ไทรวมพลัง,519,เพื่อไทย,126,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,ไทรวมพลัง,1060,พลังไทยรักชาติ,383,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,กล้าธรรม,1205,ไทรวมพลัง,158,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,กล้าธรรม,573,พลังไทยรักชาติ,354,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,ไทรวมพลัง,1026,พลังไทยรักชาติ,343,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,กล้าธรรม,1719,ไทรวมพลัง,253,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสหธาตุ,ไทรวมพลัง,393,พลังไทยรักชาติ,169,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,ไทรวมพลัง,942,ไทรวมพลัง,240,True
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,กล้าธรรม,904,ประชาชน,434,False
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลแดงหม้อ,ไทรวมพลัง,462,ไทรวมพลัง,82,True
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,กล้าธรรม,686,เพื่อไทย,209,False
อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,ไทรวมพลัง,1449,ประชาชน,374,False
อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,ประชาชน,3658,ประชาชน,3546,True
