election_type,province,constituency,amphoe,tambon,unit,turnout_rate,spoiled_rate,abstain_rate,ocr_vote_diff_abs,outlier_score
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,1,0.7860696517412935,0.022151898734177215,0.04430379746835443,40,2.0268665864879187
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,11,0.845679012345679,0.032846715328467155,0.029197080291970802,0,1.7825567540689913
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,2,0.7433070866141732,0.019067796610169493,0.025423728813559324,0,1.555292728996808
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,3,0.8083941605839416,0.05869074492099323,0.03611738148984198,0,2.2443002395748977
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,4,0.7792998477929984,0.02734375,0.041015625,8,1.0731291404878118
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,5,0.8169491525423729,0.03734439834024896,0.05394190871369295,0,1.618114920048968
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,6,0.07049608355091384,0.2962962962962963,0.3333333333333333,0,16.706514464235816
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,7,0.7192982456140351,0.04878048780487805,0.08013937282229965,2,1.6725706349315985
constituency,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,8,0.8393501805054152,0.023655913978494623,0.021505376344086023,0,2.099606937413249
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,1,0.7415730337078652,0.015151515151515152,0.03535353535353535,0,1.5179090275942542
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,2,0.7918918918918919,0.051194539249146756,0.08873720136518772,0,2.408992148746166
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,3,0.6392405063291139,0.04207920792079208,0.04702970297029703,0,0.7265287230515136
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,4,0.5953389830508474,0.0071174377224199285,0.017793594306049824,0,1.877855770078894
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,5,0.5875331564986738,0.045146726862302484,0.01580135440180587,0,1.582728050366134
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,6,0.5576519916142557,0.03759398496240601,0.03759398496240601,0,1.2155114494042993
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,7,0.6934782608695652,0.03761755485893417,0.050156739811912224,0,0.7608662913199145
constituency,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,9,0.6329411764705882,0.03717472118959108,0.011152416356877323,70,2.5203003304750617
constituency,อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,1,0.49032992036405004,0.02320185614849188,0.03480278422273782,0,1.8072949692297746
constituency,อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,10,,,,1,0.2494951931658235
constituency,อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,11,0.8135593220338984,0.01875,0.03333333333333333,0,1.9071540335945054
constituency,อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,12,0.8378378378378378,0.019851116625310174,0.019851116625310174,9,1.9803221787935845
