province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,winner_party,winner_votes,election_type,polling_station_id,total_party_votes_at_station,winner_share,rank,runner_up_party,runner_up_votes,runner_up_share,margin_votes,margin_share
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,3,party_list,548.0,443.0,540.0,443.0,406.0,25.0,12.0,97.0,272,272,406,-134,ไทรวมพลัง,140,party_list,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|3,272,0.5147058823529411,1.0,เพื่อไทย,54,0.19852941176470587,86,0.3161764705882353
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,4,party_list,651.0,512.0,640.0,512.0,464.0,27.0,21.0,128.0,269,269,464,-195,ไทรวมพลัง,105,party_list,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|4,269,0.3903345724907063,1.0,เพื่อไทย,73,0.27137546468401486,32,0.11895910780669144
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,5,party_list,590.0,482.0,580.0,482.0,447.0,23.0,12.0,98.0,447,447,447,0,ประชาชน,103,party_list,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|5,447,0.23042505592841164,1.0,ไทรวมพลัง,92,0.2058165548098434,11,0.024608501118568243
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,9,party_list,,,,,,,,,0,0,0,0,ไทยทรัพย์ทวี,0,party_list,อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|9,0,0.0,1.0,เพื่อชาติไทย,0,0.0,0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,1,party_list,370.0,293.0,360.0,293.0,252.0,15.0,26.0,67.0,252,252,252,0,กล้าธรรม,105,party_list,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|1,252,0.4166666666666667,1.0,ไทรวมพลัง,83,0.32936507936507936,22,0.08730158730158732
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,2,party_list,370.0,293.0,360.0,293.0,256.0,15.0,22.0,67.0,245,245,256,-11,เพื่อไทย,70,party_list,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|2,245,0.2857142857142857,1.0,ไทรวมพลัง,41,0.1673469387755102,29,0.11836734693877549
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,3,party_list,632.0,407.0,620.0,407.0,381.0,15.0,8.0,216.0,287,287,381,-94,เพื่อไทย,98,party_list,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|3,287,0.34146341463414637,1.0,ไทรวมพลัง,64,0.2229965156794425,34,0.11846689895470386
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,6,party_list,457.0,266.0,440.0,266.0,257.0,10.0,5.0,174.0,247,247,257,-10,เพื่อไทย,57,party_list,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|6,247,0.23076923076923078,1.0,ฟิวชัน,57,0.23076923076923078,0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,9,party_list,425.0,269.0,420.0,269.0,256.0,10.0,3.0,151.0,318,318,256,62,รักชาติ,70,party_list,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|9,318,0.22012578616352202,1.0,ไทรวมพลัง,61,0.1918238993710692,9,0.028301886792452824
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,1,party_list,570.0,431.0,560.0,439.0,463.0,14.0,14.0,129.0,677,677,463,214,พลังไทยรักชาติ,403,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|1,677,0.5952732644017725,1.0,เป็นธรรม,104,0.1536189069423929,299,0.44165435745937964
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,10,party_list,985.0,,380.0,316.0,301.0,12.0,3.0,67.0,379,379,301,78,เศรษฐกิจ,100,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|10,379,0.2638522427440633,1.0,ไทรวมพลัง,100,0.2638522427440633,0,0.0
