winner_party,stations_won,stronghold_stations,avg_winner_share,avg_margin_share,stronghold_rate,election_type
ไทรวมพลัง,107,48,0.5335960490724836,0.22832195018700158,0.4485981308411215,constituency
กล้าธรรม,77,31,0.5042632569630463,0.19982123316584022,0.4025974025974026,constituency
ไทยก้าวใหม่,3,3,0.6538443539707052,0.33044530461349225,1.0,constituency
ประชาชน,15,1,0.39685302927432,0.19503672058569613,0.06666666666666667,constituency
เพื่อไทย,1,1,0.8947368421052632,0.7894736842105263,1.0,constituency
เศรษฐกิจ,1,0,0.3252212389380531,0.05088495575221241,0.0,constituency
พลังไทยรักชาติ,11,10,0.6065977220536474,0.4713683123624872,0.9090909090909091,party_list
ไทรวมพลัง,33,3,0.32339056628730506,0.14294426624438197,0.09090909090909091,party_list
ประชาชน,41,2,0.3287015649807425,0.1370400552767297,0.04878048780487805,party_list
เพื่อไทย,22,2,0.31507507605828283,0.11222803734508609,0.09090909090909091,party_list
ประชาธิปไตยใหม่,4,1,0.4197155686237012,0.19027000860585197,0.25,party_list
ใหม่,1,1,0.5636363636363636,0.2727272727272727,1.0,party_list
กล้าธรรม,13,0,0.3017714349262459,0.08726861964617533,0.0,party_list
ภูมิใจไทย,4,0,0.2638116949987741,0.10931241042148612,0.0,party_list
ฟิวชัน,3,0,0.30537652419411615,0.12939003104828628,0.0,party_list
เศรษฐกิจ,3,0,0.2694614289510981,0.07027524137361589,0.0,party_list
ประชาธิปัตย์,2,0,0.17135993594021087,0.00656167979002624,0.0,party_list
ไทยทรัพย์ทวี,2,0,0.09439834024896265,0.015560165975103735,0.0,party_list
ประชาไทย,1,0,0.20930232558139536,0.023255813953488386,0.0,party_list
รักชาติ,1,0,0.22012578616352202,0.028301886792452824,0.0,party_list
แผ่นดินธรรม,1,0,0.15764705882352942,0.004705882352941171,0.0,party_list
