province,constituency,amphoe,tambon,polling_stations,eligible_voters,turnout,valid_ballots,spoiled_ballots,abstain_ballots,turnout_rate,spoiled_rate,abstain_rate,election_type
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,9,4875.0,3305.0,3575.0,124.0,148.0,0.6779487179487179,0.03751891074130106,0.044780635400907716,constituency
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,8,3857.0,2473.0,2291.0,89.0,93.0,0.6411718952553799,0.035988677719369186,0.03760614638091387,constituency
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,12,6305.0,2071.0,4568.0,104.0,101.0,0.32846946867565424,0.05021728633510381,0.04876871076774505,constituency
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,5,2692.0,1729.0,1777.0,46.0,12.0,0.6422734026745914,0.026604973973395025,0.006940427993059572,constituency
อุบลราชธานี,2,ตำบลเขื่องใน,เขตเทศบาล และนอกเขต,1,581.0,479.0,479.0,10.0,3.0,0.8244406196213425,0.020876826722338204,0.006263048016701462,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,8,2846.0,1261.0,1502.0,42.0,26.0,0.4430780042164441,0.03330689928628073,0.020618556701030927,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,4,1743.0,1239.0,1167.0,27.0,45.0,0.7108433734939759,0.021791767554479417,0.03631961259079903,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,8,4437.0,2394.0,2289.0,62.0,37.0,0.539553752535497,0.025898078529657476,0.015455304928989139,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,10,4796.0,2754.0,3029.0,63.0,233.0,0.5742285237698082,0.02287581699346405,0.08460421205519245,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,9,5045.0,2061.0,2159.0,77.0,18.0,0.4085232903865213,0.037360504609412905,0.008733624454148471,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,8,3977.0,2552.0,2355.0,78.0,28.0,0.6416897158662308,0.030564263322884012,0.0109717868338558,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,5,1675.0,1058.0,934.0,30.0,18.0,0.6316417910447761,0.02835538752362949,0.017013232514177693,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,6,3151.0,2303.0,2195.0,49.0,51.0,0.7308790860044431,0.02127659574468085,0.02214502822405558,constituency
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,10,4574.0,2258.0,2636.0,56.0,50.0,0.49365981635330125,0.024800708591674048,0.022143489813994686,constituency
