province,constituency,amphoe,tambon,recent_winner_party,recent_winner_votes,amphoe_key,tambon_key,previous_amphoe,previous_tambon,previous_winner_party,previous_winner_votes,winner_changed,comparison_status
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,ไทรวมพลัง,1749.0,ขี้เหล็ก,ขี้เหล็ก,,,,,False,missing_previous
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,กล้าธรรม,766.0,ปะอาว,ปะอาว,,,,,False,missing_previous
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ไทรวมพลัง,2452.0,หัวเรือ,หัวเรือ,,,,,False,missing_previous
อุบลราชธานี,2,ตำบลเขื่องใน,เขตเทศบาล และนอกเขต,กล้าธรรม,217.0,เขื่องใน,,,,,,False,missing_previous
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,กล้าธรรม,784.0,เขื่องใน,กลางใหญ่,เขื่องใน,กลางใหญ่,ประชาธิปัตย์,1231.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,ไทรวมพลัง,627.0,เขื่องใน,ก่อเอ้,เขื่องใน,ก่อเอ้,ประชาธิปัตย์,2121.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,กล้าธรรม,980.0,เขื่องใน,ค้อทอง,เขื่องใน,ค้อทอง,ประชาธิปัตย์,1571.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,กล้าธรรม,1529.0,เขื่องใน,ชีทวน,เขื่องใน,ชีทวน,ประชาธิปัตย์,1908.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,ไทรวมพลัง,1132.0,เขื่องใน,ท่าไห,เขื่องใน,ท่าไห,เพื่อไทย,1307.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,ไทรวมพลัง,1335.0,เขื่องใน,ธาตุน้อย,เขื่องใน,ธาตุน้อย,ประชาธิปัตย์,1249.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,ไทรวมพลัง,519.0,เขื่องใน,นาคำใหญ่,เขื่องใน,นาคำใหญ่,ประชาธิปัตย์,756.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,ไทรวมพลัง,1060.0,เขื่องใน,บ้านกอก,เขื่องใน,บ้านกอก,เพื่อไทย,1019.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,กล้าธรรม,1205.0,เขื่องใน,บ้านไทย,เขื่องใน,บ้านไทย,ประชาธิปัตย์,1595.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,กล้าธรรม,573.0,เขื่องใน,ยางขี้นก,เขื่องใน,ยางขี้นก,ประชาธิปัตย์,1294.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,ไทรวมพลัง,1026.0,เขื่องใน,ศรีสุข,เขื่องใน,ศรีสุข,ประชาธิปัตย์,1201.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,กล้าธรรม,1719.0,เขื่องใน,สร้างถ่อ,เขื่องใน,สร้างถ่อ,ประชาธิปัตย์,2490.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสหธาตุ,ไทรวมพลัง,393.0,เขื่องใน,สหธาตุ,เขื่องใน,สหธาตุ,เพื่อไทย,833.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,ไทรวมพลัง,942.0,เขื่องใน,หนองเหล่า,เขื่องใน,หนองเหล่า,ประชาธิปัตย์,1719.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,กล้าธรรม,904.0,เขื่องใน,หัวดอน,เขื่องใน,หัวดอน,ประชาธิปัตย์,1715.0,True,changed_winner
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,กล้าธรรม,927.0,เขื่องใน,เขื่องใน,เขื่องใน,เขื่องใน,ประชาธิปัตย์,3446.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลแดงหม้อ,ไทรวมพลัง,462.0,เขื่องใน,แดงหม้อ,เขื่องใน,แดงหม้อ,ประชาธิปัตย์,642.0,True,changed_winner
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,กล้าธรรม,686.0,เขื่องใน,โนนรัง,เขื่องใน,โนนรัง,ประชาธิปัตย์,1092.0,True,changed_winner
อุบลราชธานี,2,,,,,เมืองอุบลราชธานี,ขี้เหล็ก,เมืองอุบลราชธานี,ขี้เหล็ก,เพื่อไทย,1491.0,False,missing_recent
อุบลราชธานี,2,,,,,เมืองอุบลราชธานี,ปะอาว,เมืองอุบลราชธานี,ปะอาว,เพื่อไทย,1390.0,False,missing_recent
อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,ไทรวมพลัง,1449.0,เมืองอุบลราชธานี,หนองขอน,เมืองอุบลราชธานี,หนองขอน,ประชาธิปัตย์,1972.0,True,changed_winner
อุบลราชธานี,2,,,,,เมืองอุบลราชธานี,หัวเรือ,เมืองอุบลราชธานี,หัวเรือ,ประชาธิปัตย์,2156.0,False,missing_recent
อุบลราชธานี,2,,,,,เมืองอุบลราชธานี,ไร่น้อย,เมืองอุบลราชธานี,ไร่น้อย,ประชาชน,5803.0,False,missing_recent
อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,ประชาชน,3658.0,ไร่น้อย,ไร่น้อย,,,,,False,missing_previous
