province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,candidate_number,candidate_name,party_raw,party,party_match_score,party_match_status,votes,votes_th,votes_th_value,vote_confidence,vote_flags,validation_status,error_type,total_votes_in_table,effective_vote_sum,valid_ballots_check,vote_diff,error_ratio,low_confidence_vote_count,very_low_confidence_vote_count,party_issue_count,validation_errors,validation_warnings,source
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,1,,ไทยทรัพย์ทวี,ไทยทรัพย์ทวี,1.0,auto_matched,8,แปด,8,high,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,2,,เพื่อชาติไทย,เพื่อชาติไทย,1.0,auto_matched,2,สอง,2,high,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,3,,ใหม่,ใหม่,1.0,auto_matched,0,,,medium,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,4,,มิติใหม่,มิติใหม่,1.0,auto_matched,0,,,medium,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,5,,รวมใจไทย,รวมใจไทย,1.0,auto_matched,5,ห้า,5,high,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,6,,รวมไทยสร้างชาติ,รวมไทยสร้างชาติ,1.0,auto_matched,4,สี่,4,high,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,7,,พลวัต,พลวัต,1.0,auto_matched,0,,,medium,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,8,,ประชาธิปไตยใหม่,ประชาธิปไตยใหม่,1.0,auto_matched,1,หนึ่ง,1,high,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,9,,เพื่อไทย,เพื่อไทย,1.0,auto_matched,13,สิบสาม,13,high,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,10,,ทางเลือกใหม่,ทางเลือกใหม่,1.0,auto_matched,1,หนึ่ง,1,high,,REVIEW,party_list_total_copy_error,522,254,288,34,0.118056,2,1,1,"row 57 likely copied total: votes=268, valid_ballots=288; vote sum mismatch: effective_sum=254, valid_ballots=288; ballot used mismatch: valid+spoiled+abstain=303, ballots_used=283","low-confidence party match for number 20: raw=พิวซัน → ฟิวชัน (score=0.667); numeric/Thai vote mismatch for number 21: numeric=26, thai=46, text=สี่สิบหก; numeric/Thai vote mismatch for number 27: numeric=27, thai=25, text=ยี่สิบห้า; allocated mismatch: used+remaining=520, allocated=620",rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf
