effective_vote_sum,error,error_ratio,error_type,file,retry_count,rows,status,total_seconds,total_votes,used_fast_parser,used_llm,valid_ballots,vote_diff
254,,0.118056,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,0,57,REVIEW,20.871,522,True,True,288,34
253,,0.038023,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18.pdf,0,10,REVIEW,0.013,253,True,False,263,10
125,,,clean,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 10/5ทับ18(บช).pdf,0,15,PASS,0.02,125,True,False,,
127,,0.015504,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 10/5ทับ18.pdf,0,5,WARNING,0.006,127,True,False,129,2
144,,0.172414,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 11/5ทับ18(บช).pdf,0,57,REVIEW,17.055,144,True,True,174,30
181,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 11/5ทับ18.pdf,0,5,WARNING,0.007,181,True,False,,
151,,0.0,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 2/5ทับ18(บช).pdf,0,57,REVIEW,19.66,302,True,True,151,0
153,,0.012903,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 2/5ทับ18.pdf,0,6,WARNING,0.008,153,True,False,155,2
192,,0.098592,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 3/5ทับ18(บช).pdf,0,57,REVIEW,19.018,192,True,True,213,21
357,,0.608108,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 3/5ทับ18.pdf,0,10,REVIEW,5.784,357,True,True,222,135
176,,0.005714,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 4/5ทับ18(บช).pdf,0,57,WARNING,0.08,176,True,False,175,1
