api_seconds,api_status,attempt,file,prompt_chars,request_label,response_chars,status_code,total_seconds,wait_seconds
20.8,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,7761,initial,7205,200,20.8,0.0
17.0,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 11/5ทับ18(บช).pdf,7786,initial,7178,200,17.0,0.0
19.604,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 2/5ทับ18(บช).pdf,8191,initial,7202,200,19.604,0.0
18.966,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 3/5ทับ18(บช).pdf,7696,initial,7219,200,18.966,0.0
5.756,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 3/5ทับ18.pdf,5018,initial,1728,200,5.756,0.0
4.922,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 7/5ทับ18.pdf,4837,initial,1718,200,4.922,0.0
20.691,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 8/5ทับ18(บช).pdf,8066,initial,7392,200,20.691,0.0
17.465,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 9/5ทับ18(บช).pdf,7738,initial,7248,200,17.465,0.0
4.721,PASS,1,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 9/5ทับ18.pdf,5182,initial,1719,200,4.721,0.0
19.244,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 1/5 ทับ 18 (บช).pdf,7889,initial,7378,200,19.244,0.0
4.58,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 10/5 ทับ 18.pdf,4877,initial,1743,200,4.58,0.0
16.26,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 11/5 ทับ 18 (บช).pdf,7794,initial,7341,200,16.26,0.0
5.645,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 11/5 ทับ 18.pdf,4879,initial,1743,200,5.645,0.0
17.567,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 12/5 ทับ 18 (บช).pdf,8023,initial,7286,200,17.567,0.0
17.256,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 2/5 ทับ 18 (บช).pdf,7659,initial,7213,200,17.256,0.0
20.399,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 3/5 ทับ 18 (บช).pdf,8063,initial,7366,200,20.399,0.0
6.774,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 4/5 ทับ 18 (บช).pdf,6512,initial,3039,200,6.774,0.0
5.467,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 4/5 ทับ 18.pdf,3975,initial,1733,200,5.467,0.0
19.568,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 6/5 ทับ 18 (บช).pdf,7794,initial,7341,200,19.568,0.0
16.914,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 7/5 ทับ 18 (บช).pdf,7514,initial,7007,200,16.914,0.0
4.751,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 7/5 ทับ18.pdf,6250,initial,1715,200,4.751,0.0
5.584,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 8/5 ทับ 18.pdf,4835,initial,1720,200,5.584,0.0
15.665,PASS,1,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 9/5 ทับ 18 (บช).pdf,7728,initial,7263,200,15.665,0.0
20.716,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,7888,initial,7340,200,20.716,0.0
18.494,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 10/5 ทับ 18 (บช).pdf,8367,initial,7511,200,18.494,0.0
19.3,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 11/5 ทับ 18 (บช).pdf,7911,initial,7348,200,19.3,0.0
4.642,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 11/5 ทับ 18.pdf,4879,initial,1731,200,4.642,0.0
21.246,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 2/5ทับ18(บช).pdf,7968,initial,7389,200,21.246,0.0
17.73,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 3/5 ทับ 18 (บช).pdf,7837,initial,7406,200,17.73,0.0
20.48,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 4/5 ทับ 18 (บช).pdf,8362,initial,7755,200,20.48,0.0
11.273,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 4/5 ทับ 18.pdf,5379,initial,4687,200,11.273,0.0
19.825,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 5/5 ทับ 18 (บช).pdf,8463,initial,7391,200,19.825,0.0
19.288,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 6/5 ทับ 18 (บช).pdf,8235,initial,7518,200,19.288,0.0
18.539,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 7/5 ทับ 18 (บช).pdf,8099,initial,7375,200,18.539,0.0
19.105,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 8/5 ทับ 18 (บช).pdf,8087,initial,7380,200,19.105,0.0
19.067,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 9/5 ทับ 18 (บช).pdf,8858,initial,7393,200,19.067,0.0
4.043,PASS,1,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 9/5 ทับ 18.pdf,5283,initial,1662,200,4.043,0.0
15.928,PASS,1,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,8581,initial,7335,200,15.928,0.0
4.692,PASS,1,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 10/5ทับ18.pdf,4786,initial,1722,200,4.692,0.0
20.008,PASS,1,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 11/5ทับ18(บช).pdf,8194,initial,7410,200,20.008,0.0
5.37,PASS,1,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 11/5ทับ18.pdf,4858,initial,1724,200,5.37,0.0
22.759,PASS,1,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 3/5ทับ18(บช).pdf,8034,initial,7381,200,22.759,0.0
23.62,PASS,1,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 5/5ทับ18(บช).pdf,8487,initial,7680,200,23.621,0.0
22.879,PASS,1,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 7/5ทับ18(บช).pdf,8176,initial,7367,200,22.879,0.0
