province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,candidate_number,candidate_name,party,votes,votes_th,validation,validation_errors,validation_warnings,source
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,1,,ไทยทรัพย์ทวี,8,แปด,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,2,,เพื่อชาติไทย,2,สอง,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,3,,ใหม่,0,,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,4,,มิติใหม่,0,,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,5,,รวมใจไทย,5,ห้า,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,6,,รวมไทยสร้างชาติ,4,สี่,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,7,,พลวัต,0,,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,8,,ประชาธิปไตยใหม่,1,หนึ่ง,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,9,,เพื่อไทย,13,สิบสาม,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,520,283,268,13,2,237,10,,ทางเลือกใหม่,1,หนึ่ง,WARNING,,"small vote mismatch: effective_sum=264, valid_ballots=268",rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
