province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,กล้าธรรม_votes,กล้าธรรม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ประชาชน_votes,ประชาชน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,1,constituency,402,316,400,316,295,7,14,84,335,335,295,40,57,57,11,0,33,33,31,0,195,0,1,1,1,1,0,0,3,3,3,3
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,11,constituency,324,274,320,274,257,9,8,46,257,257,257,0,50,50,4,4,18,18,34,34,148,0,1,1,0,0,0,0,2,0,0,0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,2,constituency,635,472,620,472,453,9,12,148,453,453,453,0,118,118,7,7,12,12,50,50,253,253,2,2,0,0,4,4,5,5,2,2
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,3,constituency,548,443,540,443,401,26,16,97,401,401,401,0,84,84,6,6,26,16,43,43,233,233,0,0,0,0,3,3,4,4,2,2
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,4,constituency,657,512,640,512,477,14,21,128,469,469,477,-8,117,0,13,13,16,16,67,67,251,259,0,0,0,0,2,2,2,2,1,1
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,5,constituency,590,482,580,482,438,18,26,78,438,438,438,0,210,210,13,13,19,19,68,68,115,0,3,3,1,1,1,1,7,7,1,1
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,6,constituency,766,54,760,594,560,16,18,166,560,560,560,0,202,202,8,8,19,19,57,57,262,262,2,2,0,0,1,1,8,8,1,1
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,7,constituency,399,287,380,287,250,14,23,93,248,248,250,-2,86,88,14,14,25,25,54,54,55,55,6,6,1,1,3,3,3,3,1,1
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,8,constituency,554,465,540,465,444,11,10,75,444,444,444,0,143,0,2,0,9,0,42,0,237,237,0,0,1,0,5,0,4,0,1,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,1,constituency,267,198,260,198,188,3,7,62,188,188,188,0,79,79,3,3,13,13,23,23,64,64,2,2,0,0,0,0,3,3,1,1
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,2,constituency,370,293,360,293,252,15,26,67,252,252,252,0,105,0,5,0,30,0,20,0,83,0,1,0,2,0,1,0,4,0,1,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,3,constituency,632,404,620,404,368,17,19,216,368,368,368,0,92,0,11,0,55,55,67,67,122,0,4,4,0,0,7,7,10,10,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,4,constituency,472,281,440,281,274,2,5,159,274,274,274,0,103,303,17,17,38,38,32,32,73,73,0,0,1,3,2,2,6,6,2,2
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,5,constituency,754,443,740,443,416,20,7,297,416,416,416,0,182,0,17,17,69,69,71,0,65,65,3,3,1,1,2,2,4,4,2,2
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,6,constituency,477,266,440,266,246,10,10,174,246,246,246,0,78,0,4,0,24,0,23,0,108,0,2,0,1,0,0,0,3,0,2,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,7,constituency,460,319,460,319,291,12,16,141,291,291,291,0,99,99,5,5,34,34,37,307,112,0,0,0,0,0,1,1,3,3,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,8,constituency,393,434,580,434,399,26,9,146,399,399,399,0,124,0,3,3,12,2,24,44,223,223,0,0,2,2,2,2,9,9,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,9,constituency,425,269,420,269,256,10,3,151,326,326,256,70,28,0,33,33,39,39,39,39,61,0,1,1,1,1,1,1,10,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,1,constituency,879,431,560,431,406,10,15,129,406,406,406,0,102,0,10,0,8,0,68,0,208,0,1,0,1,0,1,0,6,0,1,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,10,constituency,385,,380,316,307,6,2,64,308,308,307,1,45,45,0,0,7,7,26,26,223,223,2,2,0,0,0,0,5,5,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,11,constituency,590,480,580,480,455,9,16,106,455,455,455,0,181,0,8,8,10,10,52,52,195,0,4,4,0,0,1,1,4,4,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,12,constituency,481,403,480,403,389,8,8,23,398,398,389,9,159,0,7,7,10,10,52,52,164,0,2,2,2,2,1,1,1,1,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,13,constituency,418,394,400,374,312,13,9,66,312,312,312,0,113,0,4,4,7,7,37,307,142,0,3,3,3,3,0,0,1,1,2,2
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,14,constituency,333,271,320,271,264,4,3,49,264,264,264,0,38,38,7,7,7,7,16,16,192,0,1,1,2,2,0,0,1,1,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,15,constituency,402,92,400,328,309,6,13,72,315,315,309,6,80,80,3,3,18,18,31,40,170,0,1,1,6,6,4,4,1,1,1,1
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,2,constituency,584,,580,475,460,6,9,105,463,463,460,3,142,0,6,6,12,12,51,0,242,242,3,3,3,0,1,3,3,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,3,constituency,420,920,420,920,313,1,6,100,313,313,313,0,145,0,8,8,12,12,28,28,109,0,2,2,0,0,1,1,6,6,2,2
