error,file,retry_count,rows,status,total_seconds,total_votes
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,30.005,264
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,8.106,253
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,57,REVIEW,29.966,117
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,1,10,REVIEW,8.298,254
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,1,57,REVIEW,27.81,145
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,1,10,REVIEW,7.447,181
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,27.69,305
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,0,10,PASS,3.954,155
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,0,57,WARNING,13.963,213
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,1,10,REVIEW,8.916,357
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,57,REVIEW,30.737,251
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,PASS,4.107,179
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,33,REVIEW,20.507,173
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,1,10,REVIEW,8.913,214
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,0,57,PASS,13.96,185
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,0,10,PASS,3.826,188
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,33,REVIEW,16.502,89
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,9.047,4673
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,31.828,389
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,0,10,PASS,3.815,206
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,57,REVIEW,25.834,2062
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,1,10,REVIEW,9.013,243
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,1,57,REVIEW,32.472,340
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,0,10,PASS,4.241,356
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,1,33,REVIEW,21.488,310
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,1,10,REVIEW,8.12,472
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,1,57,REVIEW,38.88,1391
