api_seconds,attempt,file,prompt_chars,request_label,response_chars,status,status_code,total_seconds,wait_seconds
15.986,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,8640,initial,7191,PASS,200,15.986,0.0
14.008,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,13792,retry,7181,PASS,200,14.008,0.0
4.217,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,5911,initial,1726,PASS,200,4.217,0.0
3.881,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,7478,retry,1726,PASS,200,3.881,0.0
14.686,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,8873,initial,7182,PASS,200,14.686,0.0
15.269,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,14085,retry,7182,PASS,200,15.269,0.0
3.805,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,4621,initial,1712,PASS,200,3.805,0.0
4.484,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,6364,retry,1712,PASS,200,4.484,0.0
13.227,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,9565,initial,7182,PASS,200,13.227,0.0
14.574,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,14898,retry,7182,PASS,200,14.574,0.0
3.705,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,6075,initial,1697,PASS,200,3.705,0.0
3.733,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,7682,retry,1697,PASS,200,3.733,0.0
13.868,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,8614,initial,7199,PASS,200,13.868,0.0
13.812,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,13774,retry,7199,PASS,200,13.812,0.0
3.947,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,5916,initial,1691,PASS,200,3.947,0.0
13.955,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,8150,initial,7214,PASS,200,13.955,0.0
4.78,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,5822,initial,1728,PASS,200,4.78,0.0
4.126,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,7391,retry,1728,PASS,200,4.126,0.0
15.406,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,9818,initial,7659,PASS,200,15.406,0.0
15.321,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,15438,retry,5331,PASS,200,15.321,0.0
4.099,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,6117,initial,1737,PASS,200,4.099,0.0
9.698,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,8217,initial,4393,PASS,200,9.698,0.0
10.799,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,11655,retry,4393,PASS,200,10.799,0.0
4.642,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,5637,initial,1721,PASS,200,4.642,0.0
4.264,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,7388,retry,1721,PASS,200,4.264,0.0
13.952,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,8867,initial,7246,PASS,200,13.952,0.0
3.817,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,5866,initial,1715,PASS,200,3.817,0.0
8.185,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,7227,initial,4251,PASS,200,8.185,0.0
8.309,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,10397,retry,4251,PASS,200,8.309,0.0
4.864,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,5813,initial,1732,PASS,200,4.864,0.0
4.174,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,7388,retry,1732,PASS,200,4.174,0.0
14.6,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,8235,initial,7391,PASS,200,14.6,0.0
17.217,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,13587,retry,7390,PASS,200,17.217,0.0
3.806,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,5633,initial,1717,PASS,200,3.806,0.0
13.306,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,8737,initial,7167,PASS,200,13.306,0.0
12.517,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,14084,retry,5147,PASS,200,12.517,0.0
4.911,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,11109,initial,1722,PASS,200,4.911,0.0
4.094,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,12740,retry,1722,PASS,200,4.094,0.0
14.283,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,8964,initial,7352,PASS,200,14.283,0.0
18.18,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,14277,retry,7372,PASS,200,18.18,0.0
4.232,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,5997,initial,1720,PASS,200,4.232,0.0
8.594,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,7264,initial,4389,PASS,200,8.594,0.0
12.885,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,10740,retry,4389,PASS,200,12.885,0.0
