chars,error,file,pages,status,total_seconds
13060,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,,SKIP,0.0
9105,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,,SKIP,0.0
13405,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,,SKIP,0.0
25998,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,,SKIP,0.0
13897,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,,SKIP,0.0
9089,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,,SKIP,0.0
12798,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,,SKIP,0.0
8573,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,,SKIP,0.0
12711,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,,SKIP,0.0
8451,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,,SKIP,0.0
15687,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,,SKIP,0.0
9519,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,,SKIP,0.0
28471,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,,SKIP,0.0
8521,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,,SKIP,0.0
13517,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,,SKIP,0.0
8950,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,SKIP,0.0
31929,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,,SKIP,0.0
8661,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,,SKIP,0.0
13344,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,,SKIP,0.0
8645,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,,SKIP,0.0
13591,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,,SKIP,0.0
15110,,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,,SKIP,0.0
13907,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,,SKIP,0.0
9463,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,,SKIP,0.0
12573,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,,SKIP,0.0
8384,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,,SKIP,0.0
13839,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,,SKIP,0.0
8384,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,,SKIP,0.0
14311,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,,SKIP,0.0
8834,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18.pdf,,SKIP,0.0
13167,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,,SKIP,0.0
8464,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,,SKIP,0.0
13524,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,,SKIP,0.0
8438,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,,SKIP,0.0
12299,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,,SKIP,0.0
8582,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,,SKIP,0.0
12528,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,,SKIP,0.0
8530,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,,SKIP,0.0
13688,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,,SKIP,0.0
8072,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,,SKIP,0.0
13447,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ 18 (บช).pdf,,SKIP,0.0
12379,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ18.pdf,,SKIP,0.0
12448,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,,SKIP,0.0
8530,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,,SKIP,0.0
13534,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,,SKIP,0.0
