province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,ไทยทรัพย์ทวี_votes,ไทยทรัพย์ทวี_votes_th,เพื่อชาติไทย_votes,เพื่อชาติไทย_votes_th,ใหม่_votes,ใหม่_votes_th,มิติใหม่_votes,มิติใหม่_votes_th,รวมใจไทย_votes,รวมใจไทย_votes_th,รวมไทยสร้างชาติ_votes,รวมไทยสร้างชาติ_votes_th,พลวัต_votes,พลวัต_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ทางเลือกใหม่_votes,ทางเลือกใหม่_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,เสรีรวมไทย_votes,เสรีรวมไทย_votes_th,รวมพลังประชาชน_votes,รวมพลังประชาชน_votes_th,ท้องที่ไทย_votes,ท้องที่ไทย_votes_th,อนาคตไทย_votes,อนาคตไทย_votes_th,พลังเพื่อไทย_votes,พลังเพื่อไทย_votes_th,ไทยชนะ_votes,ไทยชนะ_votes_th,พลังสังคมใหม่_votes,พลังสังคมใหม่_votes_th,สังคมประชาธิปไตยไทย_votes,สังคมประชาธิปไตยไทย_votes_th,ฟิวชัน_votes,ฟิวชัน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ก้าวอิสระ_votes,ก้าวอิสระ_votes_th,ปวงชนไทย_votes,ปวงชนไทย_votes_th,วิชชั่นใหม่_votes,วิชชั่นใหม่_votes_th,เพื่อชีวิตใหม่_votes,เพื่อชีวิตใหม่_votes_th,คลองไทย_votes,คลองไทย_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,ไทยก้าวหน้า_votes,ไทยก้าวหน้า_votes_th,ไทยภักดี_votes,ไทยภักดี_votes_th,แรงงานสร้างชาติ_votes,แรงงานสร้างชาติ_votes_th,ประชากรไทย_votes,ประชากรไทย_votes_th,ครูไทยเพื่อประชาชน_votes,ครูไทยเพื่อประชาชน_votes_th,ประชาชาติ_votes,ประชาชาติ_votes_th,สร้างอนาคตไทย_votes,สร้างอนาคตไทย_votes_th,รักชาติ_votes,รักชาติ_votes_th,ไทยพร้อม_votes,ไทยพร้อม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,พลังธรรมใหม่_votes,พลังธรรมใหม่_votes_th,กรีน_votes,กรีน_votes_th,ไทยธรรม_votes,ไทยธรรม_votes_th,แผ่นดินธรรม_votes,แผ่นดินธรรม_votes_th,กล้าธรรม_votes,กล้าธรรม_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,โอกาสใหม่_votes,โอกาสใหม่_votes_th,เป็นธรรม_votes,เป็นธรรม_votes_th,ประชาชน_votes,ประชาชน_votes_th,ประชาไทย_votes,ประชาไทย_votes_th,ไทยสร้างไทย_votes,ไทยสร้างไทย_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th,ประชาอาสาชาติ_votes,ประชาอาสาชาติ_votes_th,พร้อม_votes,พร้อม_votes_th,เครือข่ายชาวนาแห่งประเทศไทย_votes,เครือข่ายชาวนาแห่งประเทศไทย_votes_th,ไทยพิทักษ์ธรรม_votes,ไทยพิทักษ์ธรรม_votes_th,ความหวังใหม่_votes,ความหวังใหม่_votes_th,ไทยรวมไทย_votes,ไทยรวมไทย_votes_th,เพื่อบ้านเมือง_votes,เพื่อบ้านเมือง_votes_th,พลังไทยรักชาติ_votes,พลังไทยรักชาติ_votes_th
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,3,party_list,548,443,540,443,406,25,12,97,272,272,406,-134,5,0,5,0,2,0,1,1,18,0,2,0,1,1,4,0,54,0,2,0,12,0,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,140,0,1,1,0,0,2,2,1,1,0,0,7,7,0,0,1,1,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,4,party_list,651,512,640,512,464,27,21,128,269,269,464,-195,4,0,6,6,4,0,0,0,19,0,6,6,0,0,4,0,73,73,3,3,12,12,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,3,3,1,1,1,1,15,15,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,5,party_list,590,482,580,482,447,23,12,98,447,447,447,0,26,26,4,4,2,2,2,2,11,0,4,4,0,0,0,0,53,53,3,3,24,23,1,1,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,92,92,0,0,0,0,2,2,0,0,0,0,7,7,2,2,1,1,3,3,0,0,0,0,3,3,1,1,0,0,0,0,34,34,1,1,0,0,1,1,1,1,48,48,0,0,0,0,1,1,103,0,0,0,5,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,9,party_list,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,1,party_list,370,293,360,293,252,15,26,67,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,105,0,2,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,2,party_list,370,293,360,293,256,15,22,67,245,245,256,-11,6,0,3,303,3,303,1,0,4,0,6,0,0,0,3,303,70,0,2,0,13,0,1,0,2,200,0,0,0,0,0,0,1,0,0,0,1,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,2,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,3,party_list,632,407,620,407,381,15,8,216,287,287,381,-94,10,10,-1,0,2,2,2,2,19,19,4,4,0,0,0,0,98,98,2,2,10,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,64,0,0,0,1,0,2,0,0,0,0,0,15,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,31,0,3,3,0,0,0,0,1,1,9,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,6,party_list,457,266,440,266,257,10,5,174,247,247,257,-10,10,0,3,0,0,0,1,0,11,0,0,0,1,0,1,0,57,0,1,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,57,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,23,0,1,0,2,0,0,0,38,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,9,party_list,425,269,420,269,256,10,3,151,318,318,256,62,2,2,3,3,2,2,0,0,4,4,6,6,0,0,1,1,39,39,2,2,10,0,1,1,3,3,0,0,0,0,3,3,0,0,0,0,1,1,0,0,61,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,70,0,0,0,33,33,1,1,0,0,0,0,1,1,28,0,1,1,0,0,0,0,39,39,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,1,party_list,570,431,560,439,463,14,14,129,677,677,463,214,2,0,3,0,2,0,4,0,19,0,11,0,2,0,45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,9,0,15,0,0,0,9,0,0,0,104,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,403,0
