party,total_votes
ไทรวมพลัง,27497
กล้าธรรม,25463
ประชาชน,8298
เพื่อไทย,2808
ภูมิใจไทย,1789
เศรษฐกิจ,924
ไทยก้าวใหม่,718
ประชาธิปัตย์,460
พลังประชารัฐ,292
ประชาธิปไตยใหม่,250
มิติใหม่,162
รักชาติ,70
รวมไทยสร้างชาติ,36
รวมใจไทย,28
ไทยทรัพย์ทวี,18
เพื่อชาติไทย,11
คลองไทย,8
รวมพลังประชาชน,4
ใหม่,3
พลังเพื่อไทย,3
ทางเลือกใหม่,2
เสรีรวมไทย,2
ประชาชาติ,2
สร้างอนาคตไทย,2
ท้องที่ไทย,1
สังคมประชาธิปไตยไทย,1
ก้าวอิสระ,1
วิชชั่นใหม่,1
ไทยก้าวหน้า,1
ครูไทยเพื่อประชาชน,1
พลังธรรมใหม่,1
แผ่นดินธรรม,1
ไทยสร้างไทย,1
พลวัต,0
อนาคตไทย,0
ไทยชนะ,0
พลังสังคมใหม่,0
ฟิวชัน,0
ปวงชนไทย,0
เพื่อชีวิตใหม่,0
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,0
ไทยพร้อม,0
กรีน,0
ไทยธรรม,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาไทย,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
ก้าวล่วง,0
