party,total_votes
ประชาชน,8878
เพื่อไทย,6351
ไทรวมพลัง,6038
ภูมิใจไทย,4244
กล้าธรรม,4163
พลังไทยรักชาติ,3948
เศรษฐกิจ,1576
รวมใจไทย,1544
ประชาธิปัตย์,1451
ไทยทรัพย์ทวี,1325
ประชาธิปไตยใหม่,735
รวมไทยสร้างชาติ,669
ฟิวชัน,563
เพื่อชาติไทย,542
เป็นธรรม,508
คลองไทย,445
ไทยสร้างไทย,305
ใหม่,270
รวมพลังประชาชน,259
เสรีรวมไทย,245
แผ่นดินธรรม,234
มิติใหม่,210
วิชชั่นใหม่,178
ทางเลือกใหม่,176
พลังประชารัฐ,174
ไทยพร้อม,153
ประชาไทย,139
พลังธรรมใหม่,137
รักชาติ,127
ไทยภักดี,121
ไทยก้าวใหม่,118
พลังเพื่อไทย,102
สำราญ,99
สร้างอนาคตไทย,88
พลวัต,84
ไทยก้าวหน้า,82
ก้าวล่วง,74
แรงงานสร้างชาติ,73
ประชาชาติ,71
ปวงชนไทย,69
ครูไทยเพื่อประชาชน,65
ประชาอาสาชาติ,65
เพื่อชีวิตใหม่,59
ประชากรไทย,57
ไทยธรรม,50
ไทยชนะ,41
เพื่อบ้านเมือง,41
ท้องที่ไทย,39
ก้าวอิสระ,33
โอกาสใหม่,31
เครือข่ายชาวนาแห่งประเทศไทย,31
ไทยรวมไทย,31
อนาคตไทย,29
ความหวังใหม่,26
สังคมประชาธิปไตยไทย,23
พร้อม,23
กรีน,19
ไทยพิทักษ์ธรรม,19
โหวาแน่นยิ่ง,19
พลังสังคมใหม่,12
พลโท,3
นายณรงค์ไพบูลย์,2
มติชน,1
โหยธรถใหม่,1
ดำรงความสงบ,1
ไทยซิกโบโซน,1
กัน,1
เอื้อมความ,1
อนาคตแห่งชาติ,1
ชาตาณ,1
ไทยเจริญ,1
กันเอง,1
อนาคตแห่งความเป็นไป,1
ราคาดี,1
ภิกขาติ,0
หรือนวลกรรมแห่งอนาคตไทย,0
เปลี่ยนแปลง,0
พลังป้องกันอาชญากรรม,0
โพลารอน,0
พื้นฐาน,0
เด็ดครัวไทย,0
ภูเขาไฟทอง,0
แล้วเสร็จกรรม,0
ปัจเจกภัย,0
พัฒนาเศรษฐกิจให้คนไทยอยู่ดี,0
พัฒนาประเทศ,0
DEMOCRAT PARTY,0
พรรคเพื่อนำ,0
