province,province_number,district,subdistrict,station_number,บช_ก้าวไกล,บช_ชาติพัฒนากล้า,บช_ชาติไทยพัฒนา,บช_บัตรเสีย,บช_ประชาชาติ,บช_ประชาธิปัตย์,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,บช_พลังประชารัฐ,บช_ภูมิใจไทย,บช_รวมไทยสร้างชาติ,บช_เพื่อไทย,บช_เสรีรวมไทย,บช_ไทยสร้างไทย,บช_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,1.0,79,0,0,24,1,62,295,544,2,0,30,70,3,1,1
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,10.0,68,0,0,11,0,28,203,363,0,1,16,51,2,2,3
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,11.0,44,0,0,1,0,45,184,297,1,0,2,73,0,0,2
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,2.0,33,0,0,6,0,30,300,285,2,0,11,60,1,0,0
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,3.0,39,0,0,7,3,68,232,422,0,2,12,82,2,0,1
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,4.0,73,0,0,7,1,40,295,460,1,1,33,101,0,0,7
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,5.0,54,0,1,8,0,34,229,376,2,0,39,67,2,1,4
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,6.0,51,0,0,6,0,31,202,306,0,2,5,88,0,0,3
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,7.0,59,0,0,10,0,19,192,297,2,1,18,66,1,0,0
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,8.0,100,0,0,35,0,21,322,523,2,4,25,96,0,0,2
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,9.0,51,0,0,20,0,29,244,456,2,4,20,85,2,0,2
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,1.0,117,1,0,20,1,51,392,537,2,0,19,146,5,1,2
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,10.0,32,2,0,15,1,54,252,313,2,6,12,62,1,2,4
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,11.0,63,0,0,4,0,21,238,333,1,10,4,116,1,0,1
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,12.0,81,0,0,16,0,80,427,532,5,1,33,160,1,3,6
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,2.0,55,0,0,5,0,24,204,304,1,0,13,87,2,0,1
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,3.0,58,0,1,17,1,35,230,395,2,1,26,64,2,1,3
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,4.0,115,1,0,14,2,58,372,607,1,9,33,101,6,3,2
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,5.0,71,0,0,11,1,65,304,468,2,1,44,85,1,1,4
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,6.0,130,2,0,17,1,65,626,917,12,7,31,291,5,0,4
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,7.0,58,2,0,15,1,65,422,578,5,8,0,171,4,2,6
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,8.0,82,0,1,15,4,101,428,515,0,1,25,137,1,5,8
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,9.0,129,0,0,27,2,92,491,650,6,4,70,107,2,1,2
อุบลราชธานี,2,เขื่องใน,ค้อทอง,1.0,69,0,0,13,0,15,294,411,3,3,13,152,0,1,0
อุบลราชธานี,2,เขื่องใน,ค้อทอง,10.0,72,1,1,10,1,40,425,719,0,6,8,251,2,1,1
