province,province_number,district,subdistrict,station_number,เขต_กรีน,เขต_ก้าวไกล,เขต_ครูไทยเพื่อประชาช,เขต_คลองไทย,เขต_ความหวังใหม่,เขต_ชาติพัฒนากล้า,เขต_ชาติรุ่งเรือง,เขต_ชาติไทยพัฒนา,เขต_ช่วยชาติ,เขต_ถิ่นกาขาวชาววิไล,เขต_ทางเลือกใหม่,เขต_ท้องที่ไทย,เขต_บัตรเสีย,เขต_ประชากรไทย,เขต_ประชาชาติ,เขต_ประชาธิปัตย์,เขต_ประชาธิปไตยใหม่,เขต_ประชาภิวัฒน์,เขต_ประชาสามัคคี,เขต_ประชาไทย,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,เขต_พลัง,เขต_พลังธรรมใหม่,เขต_พลังบูรพา,เขต_พลังประชาธิปไตย,เขต_พลังประชารัฐ,เขต_พลังปวงชนไทย,เขต_พลังสยาม,เขต_พลังสหกรณ์,เขต_พลังสังคม,เขต_พลังสังคมใหม่,เขต_พลังเพื่อไทย,เขต_พลังไทยรักชาติ,เขต_ภราดรภาพ,เขต_ภาคีเครือข่ายไทย,เขต_ภูมิใจไทย,เขต_มิติใหม่,เขต_รวมพลัง,เขต_รวมแผ่นดิน,เขต_รวมใจไทย,เขต_รวมไทยสร้างชาติ,เขต_รักษ์ธรรม,เขต_รักษ์ผืนป่าประเทศ,เขต_ราษฎร์วิถี,เขต_สังคมประชาธิปไตยไ,เขต_สามัญชน,เขต_อนาคตไทย,เขต_เปลี่ยน,เขต_เปลี่ยนอนาคต,เขต_เป็นธรรม,เขต_เพื่อชาติ,เขต_เพื่อชาติไทย,เขต_เพื่ออนาคตไทย,เขต_เพื่อไทย,เขต_เพื่อไทรวมพลัง,เขต_เสมอภาค,เขต_เสรีรวมไทย,เขต_เส้นด้าย,เขต_แนวทางใหม่,เขต_แผ่นดินธรรม,เขต_แรงงานสร้างชาติ,เขต_ใหม่,เขต_ไทยก้าวหน้า,เขต_ไทยชนะ,เขต_ไทยธรรม,เขต_ไทยพร้อม,เขต_ไทยภักดี,เขต_ไทยรวมไทย,เขต_ไทยศรีวิไลย์,เขต_ไทยสมาร์ท,เขต_ไทยสร้างไทย,เขต_ไทยเป็นหนึ่ง,เขต_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,1.0,,36.0,,0.0,,,,,,,,,23,,,140,,,,,295,544,,,,,8,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,80,,,1,,,,,,,,,,1.0,,3.0,,,,2
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,10.0,,37.0,,1.0,,,,,,,,,10,,,104,,,,,203,363,,,,,3,0.0,,,,,,,,,3.0,,,,,0,,,,,,,,,,,,,39,,,1,,,,,,,,,,0.0,,1.0,,,,4
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,11.0,,23.0,,0.0,,,,,,,,,7,,,90,,,,,184,297,,,,,2,1.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,58,,,0,,,,,,,,,,0.0,,0.0,,,,2
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,2.0,,15.0,,2.0,,,,,,,,,4,,,82,,,,,159,285,,,,,4,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,50,,,0,,,,,,,,,,1.0,,0.0,,,,1
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,3.0,,12.0,,0.0,,,,,,,,,8,,,126,,,,,232,442,,,,,5,0.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,76,,,1,,,,,,,,,,0.0,,0.0,,,,2
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,4.0,,38.0,,0.0,,,,,,,,,9,,,134,,,,,295,460,,,,,5,1.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,100,,,0,,,,,,,,,,0.0,,2.0,,,,4
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,5.0,,14.0,,1.0,,,,,,,,,10,,,146,,,,,229,376,,,,,4,1.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,46,,,0,,,,,,,,,,0.0,,1.0,,,,5
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,6.0,,18.0,,0.0,,,,,,,,,6,,,106,,,,,202,306,,,,,1,1.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,65,,,0,,,,,,,,,,0.0,,0.0,,,,5
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,7.0,,23.0,,0.0,,,,,,,,,9,,,88,,,,,192,297,,,,,5,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,62,,,1,,,,,,,,,,0.0,,1.0,,,,2
อุบลราชธานี,2,เขื่องใน,กลางใหญ่,8.0,,48.0,,2.0,,,,,,,,,24,,,105,,,,,322,523,,,,,7,1.0,,,,,,,,,3.0,,,,,0,,,,,,,,,,,,,118,,,0,,,,,,,,,,2.0,,4.0,,,,8
